WEEK,COUNT,DEATHDT,MONTH,YRSEAS,JAN1,FLUA,FLUB,RSVPOS,PCTA,PCTB,WEEKOFYRS
1,3527,1992-09-06,9,1993,0,0,0,0,0,0,1
2,3668,1992-09-13,9,1993,0,0,0,0,0,0,2
3,3568,1992-09-20,9,1993,0,0,0,0,0,0,3
4,3743,1992-09-27,9,1993,0,0,0,0,0,0,4
5,3788,1992-10-04,10,1993,0,0,0,1,0,0,5
6,3668,1992-10-11,10,1993,0,0,0,0,0,0,6
7,3774,1992-10-18,10,1993,0,0,0,1,0,0,7
8,3860,1992-10-25,10,1993,0,0,0,0,0,0,8
9,3800,1992-11-01,11,1993,0,0,0,4,0,0,9
10,3787,1992-11-08,11,1993,0,0,0,0,0,0,10
11,3826,1992-11-15,11,1993,0,0,0,5,0,0,11
12,3819,1992-11-22,11,1993,0,0,0,4,0,0,12
13,3777,1992-11-29,11,1993,0,2,0,5,0.0034,0,13
14,3869,1992-12-06,12,1993,0,0,0,2,0,0,14
15,3861,1992-12-13,12,1993,0,1,1,9,0.0021,0.0021,15
16,4042,1992-12-20,12,1993,0,0,2,15,0,0.0054,16
17,4110,1992-12-27,12,1993,0,0,8,29,0,0.01,17
18,4338,1993-01-03,1,1993,1,0,3,18,0,0.011,18
19,4248,1993-01-10,1,1993,0,0,6,25,0,0.0141,19
20,4054,1993-01-17,1,1993,0,0,14,34,0,0.0293,20
21,3960,1993-01-24,1,1993,0,4,10,49,0.0074,0.0186,21
22,3998,1993-01-31,1,1993,0,0,36,56,0,0.0642,22
23,4042,1993-02-07,2,1993,0,6,53,75,0.0094,0.0831,23
24,3989,1993-02-14,2,1993,0,28,44,103,0.0332,0.0521,24
25,4193,1993-02-21,2,1993,0,16,53,105,0.0184,0.061,25
26,4343,1993-02-28,2,1993,0,23,47,109,0.029,0.0593,26
27,4339,1993-03-07,3,1993,0,24,33,100,0.0269,0.037,27
28,4373,1993-03-14,3,1993,0,58,54,140,0.0519,0.0483,28
29,4464,1993-03-21,3,1993,0,46,33,105,0.0476,0.0341,29
30,4196,1993-03-28,3,1993,0,46,21,108,0.0622,0.0284,30
31,4214,1993-04-04,4,1993,0,65,16,113,0.0931,0.0229,31
32,4100,1993-04-11,4,1993,0,31,11,75,0.0689,0.0244,32
33,3885,1993-04-18,4,1993,0,22,10,69,0.0338,0.0154,33
34,4040,1993-04-25,4,1993,0,16,7,49,0.0479,0.021,34
35,3936,1993-05-02,5,1993,0,8,10,47,0.019,0.0238,35
36,3878,1993-05-09,5,1993,0,2,3,32,0.0064,0.0096,36
37,3840,1993-05-16,5,1993,0,2,0,19,0.0149,0,37
38,3634,1993-05-23,5,1993,0,1,2,14,0.0065,0.0129,38
39,3708,1993-05-30,5,1993,0,0,0,10,0,0,39
40,3758,1993-06-06,6,1993,0,0,0,24,0,0,40
41,3706,1993-06-13,6,1993,0,0,0,19,0,0,41
42,3623,1993-06-20,6,1993,0,0,0,8,0,0,42
43,3648,1993-06-27,6,1993,0,0,0,0,0,0,43
44,3811,1993-07-04,7,1993,0,0,0,16,0,0,44
45,3589,1993-07-11,7,1993,0,0,0,0,0,0,45
46,3506,1993-07-18,7,1993,0,0,0,0,0,0,46
47,3625,1993-07-25,7,1993,0,0,0,0,0,0,47
48,3621,1993-08-01,8,1993,0,0,0,0,0,0,48
49,3669,1993-08-08,8,1993,0,0,0,0,0,0,49
50,3684,1993-08-15,8,1993,0,0,0,0,0,0,50
51,3683,1993-08-22,8,1993,0,0,0,0,0,0,51
52,3699,1993-08-29,8,1993,0,0,0,1,0,0,52
53,3589,1993-09-05,9,1994,0,0,0,2,0,0,1
