country,who.region
Thailand,South-East Asian  Region
Japan,Western Pacific Region
Singapore,Western Pacific Region
Nepal,South-East Asian  Region
Malaysia,Western Pacific Region
Canada,Region of the Americas
Australia,Western Pacific Region
Cambodia,Western Pacific Region
Sri Lanka,South-East Asian  Region
Germany,European  Region
Finland,European  Region
United Arab Emirates,Eastern Mediterranean Region
Philippines,Western Pacific Region
India,South-East Asian  Region
Italy,European  Region
Sweden,European  Region
Spain,European  Region
Belgium,European  Region
Egypt,Eastern Mediterranean Region
Lebanon,Eastern Mediterranean Region
Iraq,Eastern Mediterranean Region
Oman,Eastern Mediterranean Region
Afghanistan,Eastern Mediterranean Region
Bahrain,Eastern Mediterranean Region
Kuwait,Eastern Mediterranean Region
Algeria,African Region
Croatia,European  Region
Switzerland,European  Region
Austria,European  Region
Israel,European  Region
Pakistan,Eastern Mediterranean Region
Brazil,Region of the Americas
Georgia,European  Region
Greece,European  Region
North Macedonia,European  Region
Norway,European  Region
Romania,European  Region
Estonia,European  Region
Netherlands,European  Region
San Marino,European  Region
Belarus,European  Region
Iceland,European  Region
Lithuania,European  Region
Mexico,Region of the Americas
New Zealand,Western Pacific Region
Nigeria,African Region
Ireland,European  Region
Luxembourg,European  Region
Monaco,European  Region
Qatar,Eastern Mediterranean Region
Ecuador,Region of the Americas
Azerbaijan,European  Region
Armenia,European  Region
Dominican Republic,Region of the Americas
Indonesia,South-East Asian  Region
Portugal,European  Region
Andorra,European  Region
Latvia,European  Region
Morocco,Eastern Mediterranean Region
Saudi Arabia,Eastern Mediterranean Region
Senegal,African Region
Argentina,Region of the Americas
Chile,Region of the Americas
Jordan,Eastern Mediterranean Region
Ukraine,European  Region
Hungary,European  Region
Liechtenstein,European  Region
Poland,European  Region
Tunisia,Eastern Mediterranean Region
Bosnia and Herzegovina,European  Region
Slovenia,European  Region
South Africa,African Region
Bhutan,South-East Asian  Region
Cameroon,African Region
Colombia,Region of the Americas
Costa Rica,Region of the Americas
Peru,Region of the Americas
Serbia,European  Region
Slovakia,European  Region
Togo,African Region
French Guiana,Region of the Americas
Malta,European  Region
Martinique,Region of the Americas
Bulgaria,European  Region
Maldives,South-East Asian  Region
Bangladesh,South-East Asian  Region
Paraguay,Region of the Americas
Albania,European  Region
Cyprus,European  Region
Brunei,Western Pacific Region
US,Region of the Americas
Burkina Faso,African Region
Holy See,European  Region
Mongolia,Western Pacific Region
Panama,Region of the Americas
China,Western Pacific Region
Iran,Eastern Mediterranean Region
"Korea, South",Western Pacific Region
France,European  Region
United Kingdom,European  Region
Denmark,European  Region
Czechia,European  Region
Taiwan*,Western Pacific Region
Vietnam,Western Pacific Region
Russia,European  Region
Moldova,European  Region
Bolivia,Region of the Americas
Honduras,Region of the Americas
Congo (Kinshasa),African Region
Cote d'Ivoire,African Region
Jamaica,Region of the Americas
Reunion,Region of the Americas
Turkey,European  Region
Cuba,Region of the Americas
Guyana,Region of the Americas
